extraction_id,processing_id,expedition_id,target_species,extraction_date,extraction_method,solvent_system,target_compounds,extraction_temperature,extraction_time_hours,sample_volume_ml,final_yield_mg,purity_percentage,bioactivity_retained,compound_class,molecular_weight_estimated,stability_assessment,storage_buffer,extraction_efficiency,chromatography_required,purification_steps,extraction_cost_usd,analyst,analytical_method,extraction_notes
EXP-0002-PROC-2-EXT-2,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-05-19,Solvent Extraction,Ethanol/Water,Bradykinin-potentiating peptides,51.3,16.8,34.2,273.27,75.9,74.8,Peptide,508.0,Unstable,Saline,57.2,True,4,1563.11,Zachary Stone,LC-MS/MS,Worker always hold share while couple.
EXP-0002-PROC-3-EXT-1,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-07,Chromatographic Separation,Aqueous Buffer,Bradykinin-potentiating peptides,33.9,8.1,6.6,330.89,82.9,74.9,Peptide,621.0,Unstable,Saline,31.5,True,1,1702.9,Stephen Ayala,GC-MS,Leave institution party approach might.
EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-08,Steam Distillation,Chloroform/Methanol,Bradykinin-potentiating peptides,21.6,62.7,93.0,209.87,61.9,71.2,Peptide,1233.0,Unstable,HEPES Buffer,55.5,True,2,251.57,Ronald Hayes,NMR,Both single visit receive career including late.
EXP-0002-PROC-4-EXT-1,EXP-0002-PROC-4,EXP-0002,Bothrops jararaca,2024-05-17,Solvent Extraction,Methanol/Water,Bradykinin-potentiating peptides,63.8,22.8,8.8,294.22,75.1,99.2,Peptide,1180.0,Moderate,Saline,47.9,True,1,1476.99,Kevin Marquez,GC-MS,Think bed food possible represent.
EXP-0003-PROC-1-EXT-1,EXP-0003-PROC-1,EXP-0003,Bothrops jararaca,2025-07-25,Solvent Extraction,Chloroform/Methanol,Bradykinin-potentiating peptides,32.5,40.0,9.8,213.12,91.6,94.2,Peptide,604.0,Stable,PBS pH 7.4,44.7,False,4,1671.15,Nicholas Davis,GC-MS,Plant be religious risk window partner civil.
EXP-0004-PROC-1-EXT-1,EXP-0004-PROC-1,EXP-0004,Conus geographus,2025-04-02,Chromatographic Separation,Methanol/Water,"ω-conotoxin GVIA, Ziconotide",38.2,25.0,87.7,41.85,68.0,92.6,Conotoxin,292.0,Unstable,HEPES Buffer,62.0,True,5,995.79,Amanda Jackson,GC-MS,Not process change than condition Republican.
EXP-0004-PROC-1-EXT-2,EXP-0004-PROC-1,EXP-0004,Conus geographus,2025-03-26,Solvent Extraction,Ethanol/Water,"ω-conotoxin GVIA, Ziconotide",44.3,12.5,59.3,402.74,88.9,74.6,Conotoxin,469.0,Stable,Tris Buffer,47.4,True,4,849.93,Eric Mack,LC-MS/MS,Eye Congress together whether about she activity.
EXP-0004-PROC-1-EXT-3,EXP-0004-PROC-1,EXP-0004,Conus geographus,2025-04-03,Solvent Extraction,Chloroform/Methanol,"ω-conotoxin GVIA, Ziconotide",8.3,3.5,42.2,348.61,67.4,89.2,Conotoxin,668.0,Moderate,HEPES Buffer,87.6,True,1,1812.24,Mr. Robert Franklin MD,GC-MS,Open little improve bag outside.
EXP-0004-PROC-2-EXT-1,EXP-0004-PROC-2,EXP-0004,Conus geographus,2025-03-31,Chromatographic Separation,Methanol/Water,"ω-conotoxin GVIA, Ziconotide",35.3,18.1,68.9,413.05,85.6,94.7,Conotoxin,915.0,Stable,HEPES Buffer,40.2,True,1,1528.31,Joshua Harvey,LC-MS/MS,Star debate continue area give certainly allow.
EXP-0004-PROC-2-EXT-2,EXP-0004-PROC-2,EXP-0004,Conus geographus,2025-04-01,Steam Distillation,Chloroform/Methanol,"ω-conotoxin GVIA, Ziconotide",24.6,6.8,99.3,78.19,97.6,99.3,Conotoxin,1629.0,Stable,HEPES Buffer,72.9,True,1,1240.05,Lindsey Rivera,LC-MS/MS,Any indicate condition public.
EXP-0004-PROC-2-EXT-3,EXP-0004-PROC-2,EXP-0004,Conus geographus,2025-04-10,Supercritical CO2,Aqueous Buffer,"ω-conotoxin GVIA, Ziconotide",39.5,45.0,44.1,213.8,72.6,86.9,Conotoxin,1731.0,Unstable,PBS pH 7.4,43.1,True,2,1881.98,Melissa Larson,HPLC-MS,Concern lay often use behavior federal happy.
EXP-0004-PROC-3-EXT-1,EXP-0004-PROC-3,EXP-0004,Conus geographus,2025-04-10,Supercritical CO2,Aqueous Buffer,"ω-conotoxin GVIA, Ziconotide",46.3,56.3,6.5,409.21,61.5,96.7,Conotoxin,1986.0,Moderate,Saline,49.1,False,4,578.57,Barry Simmons,GC-MS,Assume likely business teacher forget including decide.
EXP-0004-PROC-4-EXT-1,EXP-0004-PROC-4,EXP-0004,Conus geographus,2025-04-14,Steam Distillation,Chloroform/Methanol,"ω-conotoxin GVIA, Ziconotide",69.8,8.3,17.0,489.58,85.6,95.4,Conotoxin,784.0,Moderate,PBS pH 7.4,74.0,True,1,1269.64,Anthony Duncan,LC-MS/MS,More because right painting small religious interview summer.
EXP-0005-PROC-1-EXT-1,EXP-0005-PROC-1,EXP-0005,Salinispora tropica,2023-12-03,Solvent Extraction,Methanol/Water,Salinosporamide A,47.7,31.5,31.2,384.31,68.6,90.8,β-lactone,620.0,Moderate,HEPES Buffer,70.6,True,4,1544.74,Kenneth Hanson,NMR,Pass market role marriage.
EXP-0005-PROC-2-EXT-1,EXP-0005-PROC-2,EXP-0005,Salinispora tropica,2023-11-22,Chromatographic Separation,Aqueous Buffer,Salinosporamide A,14.0,44.0,85.7,22.59,87.9,80.2,β-lactone,1061.0,Stable,HEPES Buffer,90.4,True,2,797.55,Sophia Hall,HPLC-MS,Without ability agency personal brother.
EXP-0005-PROC-2-EXT-2,EXP-0005-PROC-2,EXP-0005,Salinispora tropica,2023-11-18,Chromatographic Separation,Methanol/Water,Salinosporamide A,10.2,19.4,7.6,315.72,76.2,86.4,β-lactone,514.0,Moderate,HEPES Buffer,49.2,True,5,1394.88,Rebecca Duarte,NMR,Animal glass south defense political real.
EXP-0005-PROC-3-EXT-1,EXP-0005-PROC-3,EXP-0005,Salinispora tropica,2023-11-30,Steam Distillation,Methanol/Water,Salinosporamide A,71.7,42.0,58.6,250.19,62.6,72.7,β-lactone,1282.0,Unstable,Tris Buffer,52.2,True,4,1851.08,Barry Evans,HPLC-MS,Food accept rate game right pattern ahead.
EXP-0005-PROC-3-EXT-2,EXP-0005-PROC-3,EXP-0005,Salinispora tropica,2023-11-20,Supercritical CO2,Chloroform/Methanol,Salinosporamide A,58.3,21.8,54.9,348.95,94.2,93.8,β-lactone,1417.0,Moderate,Tris Buffer,74.2,True,2,1902.66,Gary Morgan,GC-MS,Trouble something population loss physical throughout Mr.
EXP-0005-PROC-3-EXT-3,EXP-0005-PROC-3,EXP-0005,Salinispora tropica,2023-11-24,Steam Distillation,Methanol/Water,Salinosporamide A,24.7,16.5,67.9,316.89,82.6,70.5,β-lactone,1512.0,Stable,PBS pH 7.4,51.0,True,4,1397.1,Richard Gutierrez,NMR,Strong federal right firm.
EXP-0005-PROC-4-EXT-1,EXP-0005-PROC-4,EXP-0005,Salinispora tropica,2023-11-16,Chromatographic Separation,Ethanol/Water,Salinosporamide A,14.2,7.7,84.0,459.21,84.7,73.1,β-lactone,924.0,Moderate,HEPES Buffer,77.4,True,1,1603.68,Christine Jennings,NMR,At chance subject fund heart move.
EXP-0006-PROC-1-EXT-1,EXP-0006-PROC-1,EXP-0006,Salinispora tropica,2025-10-08,Chromatographic Separation,Methanol/Water,Salinosporamide A,58.1,26.3,29.2,6.55,80.5,95.5,β-lactone,1924.0,Stable,Saline,66.8,True,1,1126.03,Larry Lopez,GC-MS,Ten seem relate fire.
EXP-0006-PROC-1-EXT-2,EXP-0006-PROC-1,EXP-0006,Salinispora tropica,2025-10-17,Chromatographic Separation,Aqueous Buffer,Salinosporamide A,32.9,44.1,41.9,120.23,63.6,79.4,β-lactone,374.0,Stable,Saline,41.5,True,3,1977.21,Jason Crawford,HPLC-MS,He stop few modern company.
EXP-0006-PROC-1-EXT-3,EXP-0006-PROC-1,EXP-0006,Salinispora tropica,2025-10-14,Solvent Extraction,Chloroform/Methanol,Salinosporamide A,70.4,71.7,60.4,406.26,72.4,79.2,β-lactone,925.0,Moderate,Tris Buffer,73.7,True,5,1427.95,Andrew Harris,NMR,Kitchen agent lot matter.
EXP-0006-PROC-2-EXT-1,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-09-21,Solvent Extraction,Aqueous Buffer,Salinosporamide A,52.1,10.1,60.0,346.74,86.6,92.6,β-lactone,1771.0,Stable,PBS pH 7.4,62.5,True,2,1514.45,Thomas Oconnor,NMR,Financial force show better word might yeah.
EXP-0006-PROC-2-EXT-2,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-09-25,Chromatographic Separation,Methanol/Water,Salinosporamide A,6.0,21.2,47.1,308.59,92.3,75.9,β-lactone,426.0,Moderate,Saline,92.6,True,3,394.48,Andrew Hughes,GC-MS,Break financial analysis summer the four threat.
EXP-0006-PROC-2-EXT-3,EXP-0006-PROC-2,EXP-0006,Salinispora tropica,2025-09-19,Steam Distillation,Ethanol/Water,Salinosporamide A,45.1,7.1,10.4,52.83,82.3,86.3,β-lactone,621.0,Moderate,PBS pH 7.4,71.5,True,5,1676.12,Ralph Reese,HPLC-MS,Officer fine throughout.
EXP-0007-PROC-1-EXT-1,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-09-30,Supercritical CO2,Chloroform/Methanol,"Bryostatin 1, Bryostatin 2",56.4,18.9,34.2,306.86,94.1,94.3,Macrolide,1250.0,Stable,HEPES Buffer,77.5,True,2,856.68,Corey Hill,LC-MS/MS,Significant provide evening church boy when.
EXP-0007-PROC-1-EXT-2,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-09-23,Supercritical CO2,Chloroform/Methanol,"Bryostatin 1, Bryostatin 2",18.4,50.8,57.9,179.37,94.6,70.6,Macrolide,768.0,Moderate,Tris Buffer,33.7,True,2,1579.75,Ashley Daniels,LC-MS/MS,Five center region exist each author party.
EXP-0007-PROC-1-EXT-3,EXP-0007-PROC-1,EXP-0007,Bugula neritina,2024-10-04,Solvent Extraction,Ethanol/Water,"Bryostatin 1, Bryostatin 2",55.4,29.1,76.8,227.15,75.7,98.0,Macrolide,652.0,Moderate,Saline,37.8,True,4,1252.18,Jeremy Anderson,NMR,Tough anyone himself beat hot relate through.
EXP-0007-PROC-2-EXT-1,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-16,Steam Distillation,Chloroform/Methanol,"Bryostatin 1, Bryostatin 2",8.7,25.1,53.1,81.05,85.0,99.9,Macrolide,1013.0,Unstable,Tris Buffer,53.1,True,4,921.27,Melissa Griffin,HPLC-MS,Fine stage require provide move wind.
EXP-0007-PROC-2-EXT-2,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-14,Chromatographic Separation,Chloroform/Methanol,"Bryostatin 1, Bryostatin 2",35.5,28.5,67.7,221.07,84.6,71.8,Macrolide,1665.0,Stable,HEPES Buffer,91.1,False,5,1367.78,Julie Anderson,HPLC-MS,Best financial popular short like water century.
EXP-0007-PROC-2-EXT-3,EXP-0007-PROC-2,EXP-0007,Bugula neritina,2024-09-12,Solvent Extraction,Chloroform/Methanol,"Bryostatin 1, Bryostatin 2",40.3,43.7,60.3,200.79,72.8,73.8,Macrolide,905.0,Unstable,Saline,40.6,True,4,1521.86,Deanna Cox,HPLC-MS,Record professor small think.
EXP-0007-PROC-3-EXT-1,EXP-0007-PROC-3,EXP-0007,Bugula neritina,2024-09-14,Steam Distillation,Methanol/Water,"Bryostatin 1, Bryostatin 2",46.0,43.3,87.8,288.53,73.1,94.1,Macrolide,1173.0,Stable,PBS pH 7.4,35.2,True,5,1218.53,Andre Alvarez,NMR,Long suffer executive give offer meet.
EXP-0007-PROC-4-EXT-1,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-09-29,Solvent Extraction,Aqueous Buffer,"Bryostatin 1, Bryostatin 2",26.5,11.2,19.4,216.44,82.6,72.4,Macrolide,1891.0,Unstable,Tris Buffer,79.1,True,3,1255.92,Miguel Rodriguez,NMR,Power society mouth husband including per nature.
EXP-0007-PROC-4-EXT-2,EXP-0007-PROC-4,EXP-0007,Bugula neritina,2024-09-28,Supercritical CO2,Methanol/Water,"Bryostatin 1, Bryostatin 2",40.2,45.7,83.7,391.76,70.5,98.2,Macrolide,424.0,Unstable,Saline,86.9,True,1,1947.69,Janet Peterson,GC-MS,Issue woman note garden reason community prove school.
EXP-0008-PROC-1-EXT-1,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-11,Supercritical CO2,Methanol/Water,Bradykinin-potentiating peptides,7.1,29.8,54.0,290.36,95.6,90.2,Peptide,1066.0,Stable,Tris Buffer,82.6,False,4,1910.96,Sara Wilson,NMR,Leg never state computer what attorney board sport.
EXP-0008-PROC-1-EXT-2,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-18,Supercritical CO2,Chloroform/Methanol,Bradykinin-potentiating peptides,10.5,58.8,31.6,66.18,76.7,89.3,Peptide,886.0,Stable,HEPES Buffer,33.5,False,3,1279.03,Jamie Snyder,NMR,Bed stage thought tough.
EXP-0008-PROC-1-EXT-3,EXP-0008-PROC-1,EXP-0008,Bothrops jararaca,2023-07-16,Steam Distillation,Methanol/Water,Bradykinin-potentiating peptides,20.4,32.4,9.6,410.26,91.4,87.6,Peptide,836.0,Unstable,HEPES Buffer,82.0,True,1,1198.44,April Thomas,GC-MS,Laugh factor past language.
EXP-0008-PROC-2-EXT-1,EXP-0008-PROC-2,EXP-0008,Bothrops jararaca,2023-08-02,Chromatographic Separation,Chloroform/Methanol,Bradykinin-potentiating peptides,63.6,43.5,44.3,478.98,80.6,88.2,Peptide,597.0,Unstable,HEPES Buffer,70.7,True,5,1228.89,Shawn Evans,LC-MS/MS,Truth view response trip wrong.
EXP-0008-PROC-3-EXT-1,EXP-0008-PROC-3,EXP-0008,Bothrops jararaca,2023-07-30,Supercritical CO2,Chloroform/Methanol,Bradykinin-potentiating peptides,49.9,55.2,54.7,113.46,85.3,72.4,Peptide,995.0,Stable,HEPES Buffer,40.6,True,4,532.03,Lisa Dixon,LC-MS/MS,System artist too whose.
EXP-0008-PROC-3-EXT-2,EXP-0008-PROC-3,EXP-0008,Bothrops jararaca,2023-08-07,Solvent Extraction,Chloroform/Methanol,Bradykinin-potentiating peptides,7.9,29.2,53.6,241.7,74.5,95.2,Peptide,462.0,Stable,Saline,62.9,True,3,311.67,Justin Irwin,LC-MS/MS,Technology tend dog reduce.
EXP-0009-PROC-1-EXT-1,EXP-0009-PROC-1,EXP-0009,Halichondria okadai,2025-10-28,Solvent Extraction,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",47.0,63.3,58.0,479.9,61.9,72.9,Macrolide,279.0,Stable,HEPES Buffer,42.0,True,1,1174.29,Evan Reyes,GC-MS,Itself deep community cause new successful.
EXP-0009-PROC-1-EXT-2,EXP-0009-PROC-1,EXP-0009,Halichondria okadai,2025-10-21,Supercritical CO2,Ethanol/Water,"Halichondrin B, Norhalichondrin A",75.9,60.8,33.2,38.69,66.5,73.8,Macrolide,422.0,Moderate,HEPES Buffer,63.7,True,4,642.53,Jason Roberts,LC-MS/MS,Care author administration return.
EXP-0009-PROC-1-EXT-3,EXP-0009-PROC-1,EXP-0009,Halichondria okadai,2025-10-20,Supercritical CO2,Ethanol/Water,"Halichondrin B, Norhalichondrin A",56.0,68.4,18.5,191.13,81.1,72.3,Macrolide,208.0,Stable,PBS pH 7.4,73.6,False,3,1355.28,Mr. William Miller,HPLC-MS,Team throw receive us perhaps lawyer.
EXP-0009-PROC-2-EXT-1,EXP-0009-PROC-2,EXP-0009,Halichondria okadai,2025-11-14,Solvent Extraction,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",35.6,2.7,36.9,88.62,63.7,98.7,Macrolide,1279.0,Moderate,Tris Buffer,77.4,True,5,767.65,Robert Cruz,NMR,Control painting official suggest door.
EXP-0009-PROC-2-EXT-2,EXP-0009-PROC-2,EXP-0009,Halichondria okadai,2025-11-04,Supercritical CO2,Ethanol/Water,"Halichondrin B, Norhalichondrin A",11.4,13.7,80.8,338.81,80.8,84.3,Macrolide,1860.0,Stable,Tris Buffer,34.7,True,4,705.08,Jennifer Payne,HPLC-MS,Almost also low happy oil which.
EXP-0009-PROC-2-EXT-3,EXP-0009-PROC-2,EXP-0009,Halichondria okadai,2025-11-08,Steam Distillation,Ethanol/Water,"Halichondrin B, Norhalichondrin A",79.4,18.1,88.1,415.33,68.5,82.0,Macrolide,937.0,Stable,Saline,93.6,False,5,525.61,Nicholas Fox,GC-MS,Let back three because line.
EXP-0010-PROC-1-EXT-1,EXP-0010-PROC-1,EXP-0010,Bugula neritina,2023-11-19,Chromatographic Separation,Ethanol/Water,"Bryostatin 1, Bryostatin 2",59.5,30.8,59.9,416.32,90.6,96.0,Macrolide,307.0,Moderate,Tris Buffer,75.0,True,3,451.98,Toni Miller,NMR,Something fine apply gas sing light mention.
EXP-0010-PROC-1-EXT-2,EXP-0010-PROC-1,EXP-0010,Bugula neritina,2023-11-20,Supercritical CO2,Chloroform/Methanol,"Bryostatin 1, Bryostatin 2",34.6,37.9,99.7,67.7,85.7,81.9,Macrolide,439.0,Moderate,Saline,40.3,True,4,1908.69,Nicholas Fisher,GC-MS,Eye along type see risk.
EXP-0010-PROC-1-EXT-3,EXP-0010-PROC-1,EXP-0010,Bugula neritina,2023-11-19,Chromatographic Separation,Aqueous Buffer,"Bryostatin 1, Bryostatin 2",79.4,15.8,38.8,334.64,78.4,82.6,Macrolide,844.0,Unstable,Tris Buffer,68.6,False,2,1236.07,Amy Kennedy,LC-MS/MS,Of prevent factor say.
EXP-0011-PROC-1-EXT-1,EXP-0011-PROC-1,EXP-0011,Halichondria okadai,2023-09-12,Chromatographic Separation,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",46.1,41.5,25.0,371.16,61.0,80.6,Macrolide,1604.0,Stable,PBS pH 7.4,66.7,True,5,670.09,John Martinez,HPLC-MS,Surface everyone car exactly.
EXP-0011-PROC-1-EXT-2,EXP-0011-PROC-1,EXP-0011,Halichondria okadai,2023-09-16,Solvent Extraction,Ethanol/Water,"Halichondrin B, Norhalichondrin A",64.5,53.2,63.0,244.14,65.1,77.8,Macrolide,954.0,Moderate,HEPES Buffer,69.0,True,4,1124.67,Alexis Rodriguez,LC-MS/MS,Travel school process have.
EXP-0011-PROC-2-EXT-1,EXP-0011-PROC-2,EXP-0011,Halichondria okadai,2023-10-08,Supercritical CO2,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",41.7,21.3,74.8,12.07,82.2,98.2,Macrolide,514.0,Stable,HEPES Buffer,60.7,True,1,364.56,Richard Young,NMR,Son television garden base.
EXP-0011-PROC-2-EXT-2,EXP-0011-PROC-2,EXP-0011,Halichondria okadai,2023-10-07,Chromatographic Separation,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",35.0,38.0,90.2,98.23,60.9,95.8,Macrolide,1239.0,Moderate,Tris Buffer,87.9,True,4,1274.5,Timothy Moore,HPLC-MS,Sell include himself produce rise cold official.
EXP-0011-PROC-3-EXT-1,EXP-0011-PROC-3,EXP-0011,Halichondria okadai,2023-09-16,Solvent Extraction,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",61.0,65.8,59.4,90.47,70.2,76.0,Macrolide,644.0,Unstable,PBS pH 7.4,49.9,True,3,1199.24,Amy Baker,LC-MS/MS,Apply less live live.
EXP-0011-PROC-3-EXT-2,EXP-0011-PROC-3,EXP-0011,Halichondria okadai,2023-09-15,Solvent Extraction,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",50.8,6.8,13.3,86.0,79.7,76.4,Macrolide,710.0,Moderate,Saline,56.0,True,2,1661.36,Tammy Hall,NMR,Listen certain that activity until large.
EXP-0012-PROC-1-EXT-1,EXP-0012-PROC-1,EXP-0012,Halichondria okadai,2024-01-19,Solvent Extraction,Methanol/Water,"Halichondrin B, Norhalichondrin A",54.8,57.7,93.6,10.17,65.8,96.6,Macrolide,1025.0,Stable,PBS pH 7.4,66.7,True,3,1393.45,Tonya Vega,LC-MS/MS,Best most government.
EXP-0012-PROC-1-EXT-2,EXP-0012-PROC-1,EXP-0012,Halichondria okadai,2024-01-23,Supercritical CO2,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",79.8,52.1,32.3,439.89,61.9,76.9,Macrolide,1815.0,Moderate,PBS pH 7.4,46.7,False,3,597.17,Lisa Pearson,LC-MS/MS,Friend environment better pressure hospital.
EXP-0012-PROC-2-EXT-1,EXP-0012-PROC-2,EXP-0012,Halichondria okadai,2023-12-25,Solvent Extraction,Ethanol/Water,"Halichondrin B, Norhalichondrin A",42.0,48.9,27.7,379.04,88.9,79.4,Macrolide,939.0,Stable,Saline,43.6,False,5,1957.81,Nicole Navarro,NMR,Side mind question year finish action across attack.
EXP-0012-PROC-2-EXT-2,EXP-0012-PROC-2,EXP-0012,Halichondria okadai,2023-12-25,Solvent Extraction,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",27.1,56.5,77.8,345.86,96.7,81.8,Macrolide,435.0,Moderate,PBS pH 7.4,73.7,False,5,1512.76,Joseph Jennings,LC-MS/MS,Detail exist cover agency begin voice.
EXP-0012-PROC-3-EXT-1,EXP-0012-PROC-3,EXP-0012,Halichondria okadai,2024-01-15,Steam Distillation,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",42.3,23.2,45.6,322.64,88.3,77.0,Macrolide,930.0,Moderate,PBS pH 7.4,47.5,True,5,557.54,Sara Sampson,GC-MS,Remain build task candidate.
EXP-0012-PROC-3-EXT-2,EXP-0012-PROC-3,EXP-0012,Halichondria okadai,2024-01-16,Chromatographic Separation,Ethanol/Water,"Halichondrin B, Norhalichondrin A",32.1,54.3,90.2,423.08,66.9,98.7,Macrolide,878.0,Moderate,PBS pH 7.4,52.1,False,5,312.38,Stephanie Knight,GC-MS,To receive education level.
EXP-0012-PROC-3-EXT-3,EXP-0012-PROC-3,EXP-0012,Halichondria okadai,2024-01-14,Solvent Extraction,Aqueous Buffer,"Halichondrin B, Norhalichondrin A",22.9,23.5,81.8,437.76,71.5,95.8,Macrolide,1743.0,Moderate,Saline,79.7,True,1,464.05,Margaret Livingston,NMR,Show realize property show either.
EXP-0012-PROC-4-EXT-1,EXP-0012-PROC-4,EXP-0012,Halichondria okadai,2024-01-05,Solvent Extraction,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",55.9,24.5,52.6,322.9,79.4,73.6,Macrolide,762.0,Moderate,PBS pH 7.4,82.2,False,3,1750.55,Destiny Brown,LC-MS/MS,Four art western enough key man.
EXP-0012-PROC-4-EXT-2,EXP-0012-PROC-4,EXP-0012,Halichondria okadai,2024-01-12,Solvent Extraction,Chloroform/Methanol,"Halichondrin B, Norhalichondrin A",29.0,48.0,76.4,405.99,95.9,79.4,Macrolide,1745.0,Stable,Tris Buffer,38.6,False,1,1469.07,Lisa White,GC-MS,Board music issue pass blood kid else.
EXP-0013-PROC-1-EXT-1,EXP-0013-PROC-1,EXP-0013,Bugula neritina,2024-06-27,Supercritical CO2,Aqueous Buffer,"Bryostatin 1, Bryostatin 2",23.2,63.0,21.0,26.91,87.3,84.3,Macrolide,1728.0,Moderate,Saline,54.9,True,2,502.9,Benjamin Luna,LC-MS/MS,Affect marriage present a also hospital charge.
EXP-0013-PROC-1-EXT-2,EXP-0013-PROC-1,EXP-0013,Bugula neritina,2024-06-23,Chromatographic Separation,Methanol/Water,"Bryostatin 1, Bryostatin 2",18.4,52.1,53.6,302.2,77.5,94.9,Macrolide,1693.0,Unstable,HEPES Buffer,76.1,True,2,389.72,James Smith,HPLC-MS,Long identify road speech audience difficult his.
