occurrence_id,species_key,scientific_name,common_name,decimal_latitude,decimal_longitude,country,collection_date,depth_m,habitat,threat_level,basis_of_record,data_quality
OCC-000-0013,CREATURE-000,Halichondria okadai,Marine Sponge,64.9817875,-76.765851,Romania,2021-07-22,604,Coral Reef,Low,Preserved Specimen,High
OCC-000-0014,CREATURE-000,Halichondria okadai,Marine Sponge,87.5065215,-57.648047,Sierra Leone,2022-08-27,432,Coral Reef,Low,Preserved Specimen,High
OCC-000-0015,CREATURE-000,Halichondria okadai,Marine Sponge,-68.581005,-55.021345,Tonga,2021-09-17,32,Coral Reef,Low,Observation,High
OCC-000-0016,CREATURE-000,Halichondria okadai,Marine Sponge,-15.3820285,63.422802,North Macedonia,2025-05-18,30,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0017,CREATURE-000,Halichondria okadai,Marine Sponge,-46.3378735,18.739393,Guinea,2022-04-03,95,Coral Reef,Low,Literature,Medium
OCC-000-0018,CREATURE-000,Halichondria okadai,Marine Sponge,-18.333688,167.911349,Barbados,2024-04-02,223,Coral Reef,Low,Preserved Specimen,High
OCC-000-0019,CREATURE-000,Halichondria okadai,Marine Sponge,-44.060320,106.764160,Saint Lucia,2022-06-07,238,Coral Reef,Low,Observation,High
OCC-000-0020,CREATURE-000,Halichondria okadai,Marine Sponge,34.087031,23.718590,Faroe Islands,2026-02-26,517,Coral Reef,Low,Preserved Specimen,High
OCC-000-0021,CREATURE-000,Halichondria okadai,Marine Sponge,81.7986265,119.010119,Cyprus,2024-08-18,616,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0022,CREATURE-000,Halichondria okadai,Marine Sponge,-74.9842715,-57.030753,Swaziland,2021-05-14,27,Coral Reef,Low,Preserved Specimen,High
OCC-000-0023,CREATURE-000,Halichondria okadai,Marine Sponge,-5.3212165,35.373707,Ethiopia,2021-07-15,574,Coral Reef,Low,Preserved Specimen,High
OCC-000-0024,CREATURE-000,Halichondria okadai,Marine Sponge,62.2512355,-11.058598,Croatia,2024-06-26,203,Coral Reef,Low,Preserved Specimen,High
OCC-000-0025,CREATURE-000,Halichondria okadai,Marine Sponge,16.201629,165.128470,Kuwait,2021-12-03,733,Coral Reef,Low,Literature,Medium
OCC-000-0026,CREATURE-000,Halichondria okadai,Marine Sponge,-52.5182705,-47.592865,Samoa,2024-01-06,665,Coral Reef,Low,Literature,Medium
OCC-000-0027,CREATURE-000,Halichondria okadai,Marine Sponge,-19.4708365,133.847215,Japan,2025-09-12,718,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0028,CREATURE-000,Halichondria okadai,Marine Sponge,17.213257,14.345362,Cyprus,2026-03-13,558,Coral Reef,Low,Preserved Specimen,High
OCC-000-0029,CREATURE-000,Halichondria okadai,Marine Sponge,-52.866856,93.549845,Lithuania,2021-08-30,429,Coral Reef,Low,Preserved Specimen,High
OCC-000-0030,CREATURE-000,Halichondria okadai,Marine Sponge,-77.352295,-121.132570,Cape Verde,2024-05-06,225,Coral Reef,Low,Preserved Specimen,High
OCC-000-0031,CREATURE-000,Halichondria okadai,Marine Sponge,23.3227025,140.194662,Bahrain,2023-02-17,459,Coral Reef,Low,Observation,High
OCC-000-0032,CREATURE-000,Halichondria okadai,Marine Sponge,69.9575805,71.282368,Marshall Islands,2022-06-19,603,Coral Reef,Low,Preserved Specimen,High
OCC-000-0033,CREATURE-000,Halichondria okadai,Marine Sponge,58.5054455,-173.836174,Pitcairn Islands,2024-10-23,284,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0034,CREATURE-000,Halichondria okadai,Marine Sponge,54.141875,-36.749319,Seychelles,2024-05-31,828,Coral Reef,Low,Preserved Specimen,Low
OCC-000-0035,CREATURE-000,Halichondria okadai,Marine Sponge,-60.0554415,-22.428319,Jordan,2021-12-30,890,Coral Reef,Low,Observation,High
OCC-000-0036,CREATURE-000,Halichondria okadai,Marine Sponge,-89.1288425,-38.594084,Macao,2025-01-07,6,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0037,CREATURE-000,Halichondria okadai,Marine Sponge,46.2797615,-122.871125,Trinidad and Tobago,2024-05-02,777,Coral Reef,Low,Observation,Medium
OCC-000-0038,CREATURE-000,Halichondria okadai,Marine Sponge,81.516698,92.549434,New Caledonia,2022-03-15,825,Coral Reef,Low,Observation,High
OCC-000-0039,CREATURE-000,Halichondria okadai,Marine Sponge,10.3717345,-93.269022,Mauritius,2025-12-23,163,Coral Reef,Low,Preserved Specimen,High
OCC-000-0040,CREATURE-000,Halichondria okadai,Marine Sponge,52.3657295,-179.692966,Netherlands Antilles,2022-10-30,714,Coral Reef,Low,Observation,High
OCC-000-0041,CREATURE-000,Halichondria okadai,Marine Sponge,-84.771752,-119.941473,Vanuatu,2023-01-09,432,Coral Reef,Low,Preserved Specimen,High
OCC-000-0042,CREATURE-000,Halichondria okadai,Marine Sponge,-7.4523045,-51.445018,Azerbaijan,2022-05-31,348,Coral Reef,Low,Preserved Specimen,High
OCC-000-0043,CREATURE-000,Halichondria okadai,Marine Sponge,62.298718,-137.717632,Belize,2024-11-13,284,Coral Reef,Low,Observation,High
OCC-000-0044,CREATURE-000,Halichondria okadai,Marine Sponge,-71.4209075,105.994444,Seychelles,2021-11-01,159,Coral Reef,Low,Observation,High
OCC-000-0045,CREATURE-000,Halichondria okadai,Marine Sponge,87.1005125,75.165283,Yemen,2023-12-16,220,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0046,CREATURE-000,Halichondria okadai,Marine Sponge,-18.849404,103.292704,Tunisia,2024-03-29,980,Coral Reef,Low,Observation,High
OCC-000-0047,CREATURE-000,Halichondria okadai,Marine Sponge,-33.145854,109.532383,Saudi Arabia,2024-11-09,781,Coral Reef,Low,Observation,High
OCC-000-0048,CREATURE-000,Halichondria okadai,Marine Sponge,-36.0039225,-12.648589,Iran,2026-03-09,344,Coral Reef,Low,Preserved Specimen,High
OCC-000-0049,CREATURE-000,Halichondria okadai,Marine Sponge,84.4503125,20.478606,Kazakhstan,2025-09-15,104,Coral Reef,Low,Preserved Specimen,High
OCC-000-0050,CREATURE-000,Halichondria okadai,Marine Sponge,31.1948885,-115.036366,Egypt,2022-05-01,94,Coral Reef,Low,Preserved Specimen,High
OCC-000-0051,CREATURE-000,Halichondria okadai,Marine Sponge,0.7541535,-168.707317,Namibia,2023-12-24,389,Coral Reef,Low,Preserved Specimen,High
OCC-000-0052,CREATURE-000,Halichondria okadai,Marine Sponge,67.958191,-61.771690,Albania,2021-07-24,99,Coral Reef,Low,Literature,High
OCC-000-0053,CREATURE-000,Halichondria okadai,Marine Sponge,79.410411,-148.392388,Denmark,2021-07-18,367,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0054,CREATURE-000,Halichondria okadai,Marine Sponge,-81.5676485,-2.602553,Barbados,2023-10-12,867,Coral Reef,Low,Preserved Specimen,High
OCC-000-0055,CREATURE-000,Halichondria okadai,Marine Sponge,-15.2468285,179.154708,Libyan Arab Jamahiriya,2022-04-12,352,Coral Reef,Low,Preserved Specimen,High
OCC-000-0056,CREATURE-000,Halichondria okadai,Marine Sponge,-54.4828095,126.576427,Morocco,2023-07-28,618,Coral Reef,Low,Literature,Medium
OCC-000-0057,CREATURE-000,Halichondria okadai,Marine Sponge,36.962706,38.538654,Comoros,2021-09-05,270,Coral Reef,Low,Observation,Medium
OCC-000-0058,CREATURE-000,Halichondria okadai,Marine Sponge,86.8943355,51.418842,Guinea,2023-04-29,826,Coral Reef,Low,Observation,High
OCC-000-0059,CREATURE-000,Halichondria okadai,Marine Sponge,35.365979,-150.917068,Peru,2024-06-22,44,Coral Reef,Low,Observation,High
OCC-000-0060,CREATURE-000,Halichondria okadai,Marine Sponge,83.457556,-127.162307,Bahamas,2023-03-22,747,Coral Reef,Low,Observation,Medium
OCC-000-0061,CREATURE-000,Halichondria okadai,Marine Sponge,1.080848,-121.336636,Egypt,2022-03-02,470,Coral Reef,Low,Preserved Specimen,High
OCC-000-0062,CREATURE-000,Halichondria okadai,Marine Sponge,53.958110,60.847567,Burundi,2023-04-26,549,Coral Reef,Low,Preserved Specimen,High
OCC-000-0063,CREATURE-000,Halichondria okadai,Marine Sponge,-15.2286065,68.371554,Egypt,2025-07-31,127,Coral Reef,Low,Observation,Medium
OCC-000-0064,CREATURE-000,Halichondria okadai,Marine Sponge,-69.764023,57.904006,Sri Lanka,2025-07-07,996,Coral Reef,Low,Preserved Specimen,High
OCC-000-0065,CREATURE-000,Halichondria okadai,Marine Sponge,57.726826,-127.435652,Australia,2024-06-20,944,Coral Reef,Low,Preserved Specimen,High
OCC-000-0066,CREATURE-000,Halichondria okadai,Marine Sponge,55.112968,-172.076939,Bermuda,2025-11-03,387,Coral Reef,Low,Preserved Specimen,High
OCC-000-0067,CREATURE-000,Halichondria okadai,Marine Sponge,-26.547364,-90.712404,Ireland,2023-08-21,80,Coral Reef,Low,Literature,High
OCC-000-0068,CREATURE-000,Halichondria okadai,Marine Sponge,-32.622648,35.306864,United Kingdom,2021-07-02,565,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0069,CREATURE-000,Halichondria okadai,Marine Sponge,11.729822,-178.842844,Iceland,2022-07-14,300,Coral Reef,Low,Preserved Specimen,Low
OCC-000-0070,CREATURE-000,Halichondria okadai,Marine Sponge,32.1403795,-26.857986,Jamaica,2024-09-09,849,Coral Reef,Low,Literature,High
OCC-000-0071,CREATURE-000,Halichondria okadai,Marine Sponge,59.187923,175.339452,Saint Barthelemy,2023-08-23,643,Coral Reef,Low,Preserved Specimen,High
OCC-000-0072,CREATURE-000,Halichondria okadai,Marine Sponge,-39.0246795,-20.706198,Cuba,2026-01-19,633,Coral Reef,Low,Preserved Specimen,High
OCC-000-0073,CREATURE-000,Halichondria okadai,Marine Sponge,65.472524,111.088834,Bahamas,2024-12-12,906,Coral Reef,Low,Observation,High
OCC-000-0074,CREATURE-000,Halichondria okadai,Marine Sponge,-74.6548135,-153.080040,Myanmar,2023-08-05,882,Coral Reef,Low,Preserved Specimen,High
OCC-000-0075,CREATURE-000,Halichondria okadai,Marine Sponge,52.5730875,-95.478948,Azerbaijan,2026-01-05,370,Coral Reef,Low,Literature,High
OCC-000-0076,CREATURE-000,Halichondria okadai,Marine Sponge,-68.495243,-80.235982,Bangladesh,2024-03-08,591,Coral Reef,Low,Preserved Specimen,High
OCC-000-0077,CREATURE-000,Halichondria okadai,Marine Sponge,-26.862935,36.775349,British Indian Ocean Territory (Chagos Archipelago),2025-12-01,196,Coral Reef,Low,Literature,High
OCC-000-0078,CREATURE-000,Halichondria okadai,Marine Sponge,62.9210795,-47.814142,Mozambique,2024-03-07,721,Coral Reef,Low,Observation,Medium
OCC-000-0079,CREATURE-000,Halichondria okadai,Marine Sponge,76.263958,-135.985494,Italy,2024-06-30,71,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0080,CREATURE-000,Halichondria okadai,Marine Sponge,61.726947,100.666834,Germany,2025-11-18,46,Coral Reef,Low,Preserved Specimen,High
OCC-000-0081,CREATURE-000,Halichondria okadai,Marine Sponge,-35.1695885,179.556395,Saint Barthelemy,2022-10-12,677,Coral Reef,Low,Observation,High
OCC-000-0082,CREATURE-000,Halichondria okadai,Marine Sponge,-18.699647,32.485908,Bulgaria,2024-07-26,233,Coral Reef,Low,Preserved Specimen,Medium
OCC-000-0083,CREATURE-000,Halichondria okadai,Marine Sponge,-9.470148,65.470574,Germany,2025-11-08,791,Coral Reef,Low,Preserved Specimen,High
OCC-000-0084,CREATURE-000,Halichondria okadai,Marine Sponge,-70.526856,-174.998802,Kuwait,2024-04-24,296,Coral Reef,Low,Preserved Specimen,High
OCC-000-0085,CREATURE-000,Halichondria okadai,Marine Sponge,61.127454,-126.322974,Barbados,2023-11-24,81,Coral Reef,Low,Observation,High
OCC-000-0086,CREATURE-000,Halichondria okadai,Marine Sponge,45.7973885,-37.621611,Bulgaria,2025-11-16,875,Coral Reef,Low,Preserved Specimen,High
OCC-000-0087,CREATURE-000,Halichondria okadai,Marine Sponge,-71.533974,-48.850804,Heard Island and McDonald Islands,2022-08-19,238,Coral Reef,Low,Observation,High
OCC-000-0088,CREATURE-000,Halichondria okadai,Marine Sponge,27.624274,111.637921,Romania,2022-09-20,887,Coral Reef,Low,Observation,High
OCC-000-0089,CREATURE-000,Halichondria okadai,Marine Sponge,85.550430,103.972873,Algeria,2024-07-19,103,Coral Reef,Low,Literature,High
OCC-000-0090,CREATURE-000,Halichondria okadai,Marine Sponge,58.874917,-19.272259,Venezuela,2024-07-11,389,Coral Reef,Low,Preserved Specimen,High
OCC-000-0091,CREATURE-000,Halichondria okadai,Marine Sponge,-53.9515035,-38.015939,Brazil,2025-08-28,284,Coral Reef,Low,Literature,Medium
OCC-000-0092,CREATURE-000,Halichondria okadai,Marine Sponge,58.504841,-96.544539,Faroe Islands,2022-08-13,464,Coral Reef,Low,Preserved Specimen,High
OCC-000-0093,CREATURE-000,Halichondria okadai,Marine Sponge,-33.4595335,4.082453,Costa Rica,2024-08-24,650,Coral Reef,Low,Observation,High
OCC-001-0000,CREATURE-001,Conus geographus,Cone Snail,-19.137362,91.339422,Liechtenstein,2022-06-18,0,Tropical Waters,High,Literature,High
OCC-001-0001,CREATURE-001,Conus geographus,Cone Snail,-76.3637755,-130.447639,North Macedonia,2023-04-29,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0002,CREATURE-001,Conus geographus,Cone Snail,-15.729217,-156.331099,Afghanistan,2022-11-16,0,Tropical Waters,High,Observation,Medium
OCC-001-0003,CREATURE-001,Conus geographus,Cone Snail,-54.883366,162.047638,Estonia,2022-01-06,0,Tropical Waters,High,Observation,Medium
OCC-001-0004,CREATURE-001,Conus geographus,Cone Snail,28.6043165,116.181171,Romania,2023-05-07,0,Tropical Waters,High,Observation,High
OCC-001-0005,CREATURE-001,Conus geographus,Cone Snail,-87.404310,-119.938167,Belarus,2025-12-07,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0006,CREATURE-001,Conus geographus,Cone Snail,-49.9885445,112.911559,Argentina,2025-05-19,0,Tropical Waters,High,Observation,High
OCC-001-0007,CREATURE-001,Conus geographus,Cone Snail,66.366221,116.634652,Cameroon,2023-05-11,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0008,CREATURE-001,Conus geographus,Cone Snail,-78.7716505,-14.505060,Haiti,2025-09-14,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0009,CREATURE-001,Conus geographus,Cone Snail,-79.290802,12.097368,Cote d'Ivoire,2024-08-14,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0010,CREATURE-001,Conus geographus,Cone Snail,89.0285755,-124.813096,Guinea,2025-02-09,0,Tropical Waters,High,Observation,High
OCC-001-0011,CREATURE-001,Conus geographus,Cone Snail,19.0860995,153.215109,San Marino,2021-12-24,0,Tropical Waters,High,Observation,High
OCC-001-0012,CREATURE-001,Conus geographus,Cone Snail,-26.4513075,-92.757530,South Georgia and the South Sandwich Islands,2025-04-06,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0013,CREATURE-001,Conus geographus,Cone Snail,20.6744385,-166.692921,Christmas Island,2024-11-21,0,Tropical Waters,High,Observation,Medium
OCC-001-0014,CREATURE-001,Conus geographus,Cone Snail,-0.829644,41.036821,Spain,2024-07-22,0,Tropical Waters,High,Observation,High
OCC-001-0015,CREATURE-001,Conus geographus,Cone Snail,-23.383114,-36.759775,Cayman Islands,2025-02-22,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0016,CREATURE-001,Conus geographus,Cone Snail,-60.983302,25.375523,Tunisia,2021-05-26,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0017,CREATURE-001,Conus geographus,Cone Snail,36.349890,-60.581808,Cook Islands,2025-04-16,0,Tropical Waters,High,Literature,High
OCC-001-0018,CREATURE-001,Conus geographus,Cone Snail,33.561709,7.721436,Gambia,2025-04-24,0,Tropical Waters,High,Observation,High
OCC-001-0019,CREATURE-001,Conus geographus,Cone Snail,-28.9053005,-60.318830,Anguilla,2024-07-04,0,Tropical Waters,High,Observation,High
OCC-001-0020,CREATURE-001,Conus geographus,Cone Snail,16.962397,-3.765707,Fiji,2025-07-13,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0021,CREATURE-001,Conus geographus,Cone Snail,-15.0729545,8.520142,Norway,2023-10-03,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0022,CREATURE-001,Conus geographus,Cone Snail,53.939314,-2.215269,Wallis and Futuna,2021-05-06,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0023,CREATURE-001,Conus geographus,Cone Snail,-19.8805795,-84.132133,Mozambique,2026-01-08,0,Tropical Waters,High,Observation,High
OCC-001-0024,CREATURE-001,Conus geographus,Cone Snail,-18.739416,-159.460824,Botswana,2024-03-10,0,Tropical Waters,High,Literature,Low
OCC-001-0025,CREATURE-001,Conus geographus,Cone Snail,2.794676,-11.595773,Jordan,2024-03-28,0,Tropical Waters,High,Literature,High
OCC-001-0026,CREATURE-001,Conus geographus,Cone Snail,47.2840825,-117.913141,Hungary,2025-09-15,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0027,CREATURE-001,Conus geographus,Cone Snail,-38.9761175,-43.246895,Aruba,2024-10-01,0,Tropical Waters,High,Preserved Specimen,Low
OCC-001-0028,CREATURE-001,Conus geographus,Cone Snail,-89.546002,99.130110,Uzbekistan,2025-03-29,0,Tropical Waters,High,Literature,Medium
OCC-001-0029,CREATURE-001,Conus geographus,Cone Snail,-37.1087845,15.539914,Jersey,2021-07-22,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0030,CREATURE-001,Conus geographus,Cone Snail,88.304945,-2.725207,Nigeria,2022-10-11,0,Tropical Waters,High,Observation,High
OCC-001-0031,CREATURE-001,Conus geographus,Cone Snail,-56.546147,-18.765710,Madagascar,2022-10-03,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0032,CREATURE-001,Conus geographus,Cone Snail,19.627137,-4.881888,Iraq,2024-09-10,0,Tropical Waters,High,Literature,High
OCC-001-0033,CREATURE-001,Conus geographus,Cone Snail,58.8239675,-111.662882,Congo,2023-04-24,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0034,CREATURE-001,Conus geographus,Cone Snail,11.7760355,-86.569784,Nicaragua,2024-01-20,0,Tropical Waters,High,Observation,Low
OCC-001-0035,CREATURE-001,Conus geographus,Cone Snail,19.004973,114.171548,Syrian Arab Republic,2021-03-17,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0036,CREATURE-001,Conus geographus,Cone Snail,-12.9821855,-67.159032,Jersey,2025-02-19,0,Tropical Waters,High,Observation,Medium
OCC-001-0037,CREATURE-001,Conus geographus,Cone Snail,72.849474,171.492405,Gibraltar,2023-07-14,0,Tropical Waters,High,Observation,Medium
OCC-001-0038,CREATURE-001,Conus geographus,Cone Snail,28.6913665,-65.269933,Malawi,2023-07-29,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0039,CREATURE-001,Conus geographus,Cone Snail,-44.448814,173.717803,Belize,2022-08-17,0,Tropical Waters,High,Observation,Medium
OCC-001-0040,CREATURE-001,Conus geographus,Cone Snail,88.201907,159.807534,Niger,2022-11-19,0,Tropical Waters,High,Observation,Medium
OCC-001-0041,CREATURE-001,Conus geographus,Cone Snail,-26.9529415,-13.344820,Czech Republic,2025-03-29,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0042,CREATURE-001,Conus geographus,Cone Snail,-50.4449715,-166.886719,Aruba,2022-06-07,0,Tropical Waters,High,Observation,High
OCC-001-0043,CREATURE-001,Conus geographus,Cone Snail,37.543440,148.175214,Thailand,2025-01-19,0,Tropical Waters,High,Observation,Medium
OCC-001-0044,CREATURE-001,Conus geographus,Cone Snail,32.249846,42.501321,Turks and Caicos Islands,2024-05-10,0,Tropical Waters,High,Observation,High
OCC-001-0045,CREATURE-001,Conus geographus,Cone Snail,-37.8066895,26.146870,Lithuania,2023-03-17,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0046,CREATURE-001,Conus geographus,Cone Snail,-50.386620,172.218461,Portugal,2021-03-27,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0047,CREATURE-001,Conus geographus,Cone Snail,-61.388191,48.248626,Cyprus,2022-02-01,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0048,CREATURE-001,Conus geographus,Cone Snail,49.038225,69.403322,Australia,2023-12-30,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0049,CREATURE-001,Conus geographus,Cone Snail,-57.423049,65.061079,Burkina Faso,2025-03-20,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0050,CREATURE-001,Conus geographus,Cone Snail,89.201532,105.149257,Monaco,2024-03-08,0,Tropical Waters,High,Observation,High
OCC-001-0051,CREATURE-001,Conus geographus,Cone Snail,28.802399,148.915210,Suriname,2024-10-21,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0052,CREATURE-001,Conus geographus,Cone Snail,45.500356,49.104699,Switzerland,2025-09-28,0,Tropical Waters,High,Observation,High
OCC-001-0053,CREATURE-001,Conus geographus,Cone Snail,29.699022,-94.552751,Samoa,2025-07-07,0,Tropical Waters,High,Observation,High
OCC-001-0054,CREATURE-001,Conus geographus,Cone Snail,30.8146815,-40.847597,Sao Tome and Principe,2022-06-11,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0055,CREATURE-001,Conus geographus,Cone Snail,81.1709385,-31.119604,Seychelles,2025-02-04,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0056,CREATURE-001,Conus geographus,Cone Snail,40.0830215,156.483005,Dominican Republic,2022-07-31,0,Tropical Waters,High,Observation,Low
OCC-001-0057,CREATURE-001,Conus geographus,Cone Snail,-69.200721,-26.600866,Dominica,2022-07-26,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0058,CREATURE-001,Conus geographus,Cone Snail,-4.178618,109.992016,Belgium,2021-11-24,0,Tropical Waters,High,Observation,High
OCC-001-0059,CREATURE-001,Conus geographus,Cone Snail,-27.9212185,25.640506,Puerto Rico,2021-12-21,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0060,CREATURE-001,Conus geographus,Cone Snail,-32.5674615,-145.517398,Israel,2023-03-31,0,Tropical Waters,High,Preserved Specimen,Low
OCC-001-0061,CREATURE-001,Conus geographus,Cone Snail,55.6560695,70.141207,Israel,2021-07-08,0,Tropical Waters,High,Observation,High
OCC-001-0062,CREATURE-001,Conus geographus,Cone Snail,22.7814175,29.098769,United Kingdom,2025-01-21,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0063,CREATURE-001,Conus geographus,Cone Snail,-84.756932,129.071403,Hong Kong,2023-08-05,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0064,CREATURE-001,Conus geographus,Cone Snail,4.4245355,-19.683553,Sao Tome and Principe,2023-02-27,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0065,CREATURE-001,Conus geographus,Cone Snail,22.4801685,108.954965,San Marino,2024-11-18,0,Tropical Waters,High,Observation,High
OCC-001-0066,CREATURE-001,Conus geographus,Cone Snail,71.934383,-61.599191,Libyan Arab Jamahiriya,2022-04-21,0,Tropical Waters,High,Literature,Medium
OCC-001-0067,CREATURE-001,Conus geographus,Cone Snail,26.9938295,80.727063,Antarctica (the territory South of 60 deg S),2023-02-25,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0068,CREATURE-001,Conus geographus,Cone Snail,89.549395,37.065859,Saint Kitts and Nevis,2022-01-12,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0069,CREATURE-001,Conus geographus,Cone Snail,35.4640875,-111.480352,Nigeria,2023-11-17,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0070,CREATURE-001,Conus geographus,Cone Snail,15.769006,137.770015,Mongolia,2024-07-10,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0071,CREATURE-001,Conus geographus,Cone Snail,-67.465526,165.073591,Japan,2021-11-19,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0072,CREATURE-001,Conus geographus,Cone Snail,33.9362335,-82.434972,Australia,2022-07-05,0,Tropical Waters,High,Observation,Medium
OCC-001-0073,CREATURE-001,Conus geographus,Cone Snail,-2.1269375,-66.365749,Korea,2022-11-04,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0074,CREATURE-001,Conus geographus,Cone Snail,11.770918,-30.612117,Sao Tome and Principe,2025-12-18,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0075,CREATURE-001,Conus geographus,Cone Snail,23.162947,-44.562755,Syrian Arab Republic,2021-08-13,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0076,CREATURE-001,Conus geographus,Cone Snail,-84.796840,109.598399,Austria,2026-03-17,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0077,CREATURE-001,Conus geographus,Cone Snail,3.941764,-59.621644,Pakistan,2021-07-20,0,Tropical Waters,High,Observation,High
OCC-001-0078,CREATURE-001,Conus geographus,Cone Snail,84.954058,-158.386578,Saudi Arabia,2021-05-12,0,Tropical Waters,High,Preserved Specimen,High
OCC-001-0079,CREATURE-001,Conus geographus,Cone Snail,-23.620394,-72.969050,Taiwan,2021-04-23,0,Tropical Waters,High,Preserved Specimen,Medium
OCC-001-0080,CREATURE-001,Conus geographus,Cone Snail,-49.0951755,-51.932160,Brunei Darussalam,2023-07-30,0,Tropical Waters,High,Observation,High
