bioassay_id,extraction_id,processing_id,expedition_id,target_species,assay_date,assay_type,therapeutic_target,cell_line_organism,assay_format,concentration_range_um,positive_control,incubation_time_hours,ic50_value_nm,max_inhibition_percent,hill_coefficient,selectivity_index,cytotoxicity_cc50_um,therapeutic_window,dose_response_quality,assay_reproducibility,statistical_significance,mechanism_of_action,structure_activity_notes,follow_up_priority,patent_potential,literature_precedent,assay_cost_usd,researcher,assay_notes
EXP-0001-PROC-3-EXT-1-ASSAY-1,EXP-0001-PROC-3-EXT-1,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-08-03,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.198 - 324.1 μM,Doxorubicin,21.7,5.45,49.5,2.53,14.1,58.4,12.4,Good,0.813,False,Tubulin depolymerization,Window thus large response treat attack industry.,High,False,Similar,920.55,Kathy Johnson,Ever whose face what article win couple sport.
EXP-0001-PROC-3-EXT-1-ASSAY-2,EXP-0001-PROC-3-EXT-1,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-26,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,384-well,0.438 - 402.9 μM,Paclitaxel,54.0,0.51,50.2,1.07,58.0,400.31,21.7,Good,0.829,False,Tubulin depolymerization,Range that will close seek his single.,Medium,True,Novel,504.81,Devon White,Occur option across up.
EXP-0001-PROC-3-EXT-1-ASSAY-3,EXP-0001-PROC-3-EXT-1,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-29,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,384-well,0.595 - 99.3 μM,Cisplatin,44.4,125.97,82.2,1.97,45.5,153.02,43.1,Fair,0.939,True,Tubulin depolymerization,Lay remain modern field detail remain need.,Medium,False,Novel,898.84,Angel Allen,Policy walk everyone.
EXP-0001-PROC-3-EXT-2-ASSAY-1,EXP-0001-PROC-3-EXT-2,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-25,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,24-well,0.242 - 514.6 μM,Paclitaxel,28.6,41.71,61.0,1.63,14.2,51.48,3.3,Good,0.894,True,Tubulin depolymerization,Establish so politics eat.,Medium,True,Novel,984.82,Kimberly Smith,Plan win foot watch this enough.
EXP-0001-PROC-3-EXT-2-ASSAY-2,EXP-0001-PROC-3-EXT-2,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-07-31,MTT Cytotoxicity Assay,Anticancer,HeLa cells,384-well,0.131 - 316.2 μM,Cisplatin,10.2,11.56,75.3,0.66,86.4,32.83,48.1,Excellent,0.762,True,Tubulin depolymerization,Impact particularly foot arm.,Medium,True,Novel,840.11,Samantha Robinson,Computer will Mr without sing.
EXP-0001-PROC-3-EXT-3-ASSAY-1,EXP-0001-PROC-3-EXT-3,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-08-04,MTT Cytotoxicity Assay,Anticancer,HeLa cells,96-well,0.417 - 187.9 μM,Doxorubicin,50.2,183.55,47.0,2.46,67.7,73.78,6.6,Good,0.874,True,Tubulin depolymerization,Blood second high president thank plant nearly stage.,Medium,True,Similar,829.86,Derrick Perkins,Choose discussion risk happy total behavior.
EXP-0001-PROC-3-EXT-3-ASSAY-2,EXP-0001-PROC-3-EXT-3,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-08-02,MTT Cytotoxicity Assay,Anticancer,A549 cells,24-well,0.962 - 902.5 μM,Paclitaxel,20.9,8.92,71.2,1.24,2.5,5.04,11.8,Excellent,0.77,True,Tubulin depolymerization,Least spring computer now.,Medium,False,Novel,832.32,Catherine Campbell,Clear concern hour part attorney.
EXP-0001-PROC-3-EXT-3-ASSAY-3,EXP-0001-PROC-3-EXT-3,EXP-0001-PROC-3,EXP-0001,Halichondria okadai,2023-08-01,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,96-well,0.956 - 13.0 μM,Paclitaxel,19.4,130.6,45.5,1.78,23.9,175.11,9.9,Fair,0.903,True,Tubulin depolymerization,Interview lawyer population I.,High,False,Similar,462.05,Breanna Christensen,Owner help again.
EXP-0001-PROC-4-EXT-1-ASSAY-1,EXP-0001-PROC-4-EXT-1,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-22,MTT Cytotoxicity Assay,Anticancer,HeLa cells,96-well,0.171 - 322.9 μM,Cisplatin,31.7,2.17,98.3,0.88,73.6,12.81,1.0,Fair,0.849,True,Tubulin depolymerization,Shake popular analysis.,Low,False,Similar,1399.13,Bradley Thomas,Outside society act social my stand system be.
EXP-0001-PROC-4-EXT-1-ASSAY-2,EXP-0001-PROC-4-EXT-1,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-28,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.253 - 956.4 μM,Paclitaxel,66.6,217.5,67.1,1.56,16.5,43.8,21.9,Excellent,0.834,True,Tubulin depolymerization,Lose none know clear.,Medium,False,Novel,327.01,Christopher Brown,Physical but stay bill father.
EXP-0001-PROC-4-EXT-1-ASSAY-3,EXP-0001-PROC-4-EXT-1,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-22,MTT Cytotoxicity Assay,Anticancer,MCF-7 cells,96-well,0.557 - 789.5 μM,Cisplatin,39.9,3.82,93.3,1.68,87.9,29.87,29.7,Good,0.869,True,Tubulin depolymerization,Though indeed ability difference dinner history government.,Medium,False,Novel,1265.11,Thomas Cohen,Man yard different what.
EXP-0001-PROC-4-EXT-1-ASSAY-4,EXP-0001-PROC-4-EXT-1,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-28,MTT Cytotoxicity Assay,Anticancer,HeLa cells,384-well,0.097 - 915.4 μM,Cisplatin,8.4,2.49,64.3,2.2,7.6,793.05,30.1,Excellent,0.893,True,Tubulin depolymerization,Ground past brother type turn.,Low,False,Novel,1293.86,Lindsey Thompson,Friend consider interesting throw reach person expert.
EXP-0001-PROC-4-EXT-1-ASSAY-5,EXP-0001-PROC-4-EXT-1,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-22,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.919 - 900.9 μM,Cisplatin,33.4,4.82,63.3,1.22,27.6,5.7,43.2,Fair,0.717,True,Tubulin depolymerization,Even material hard enter.,Low,False,Similar,1113.13,Rebecca Mccormick,Sing chair challenge land.
EXP-0001-PROC-4-EXT-2-ASSAY-1,EXP-0001-PROC-4-EXT-2,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-26,MTT Cytotoxicity Assay,Anticancer,A549 cells,96-well,0.222 - 468.9 μM,Paclitaxel,34.9,40.13,70.8,2.18,84.9,114.21,1.5,Excellent,0.801,True,Tubulin depolymerization,Spring both into risk certain follow camera.,Medium,False,Known,1388.69,Heather Snyder,Really including soldier four soon president early.
EXP-0001-PROC-4-EXT-2-ASSAY-2,EXP-0001-PROC-4-EXT-2,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-28,MTT Cytotoxicity Assay,Anticancer,HeLa cells,384-well,0.419 - 717.0 μM,Doxorubicin,62.3,14.39,64.5,2.22,25.7,9.17,32.4,Good,0.919,True,Tubulin depolymerization,Near much manage movie discover base.,Medium,False,Similar,801.76,Kelsey Frank,Reflect dog able yes admit.
EXP-0001-PROC-4-EXT-2-ASSAY-3,EXP-0001-PROC-4-EXT-2,EXP-0001-PROC-4,EXP-0001,Halichondria okadai,2023-07-31,MTT Cytotoxicity Assay,Anticancer,A549 cells,24-well,0.099 - 24.8 μM,Cisplatin,13.3,222.26,41.2,2.01,28.4,55.32,43.3,Poor,0.771,True,Tubulin depolymerization,Listen card body treat guess support single.,High,False,Known,1124.11,Joe Conley,Will tree drug still argue case while.
EXP-0002-PROC-1-EXT-1-ASSAY-1,EXP-0002-PROC-1-EXT-1,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-18,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.801 - 462.5 μM,Standard Control,44.5,207.75,65.5,1.19,27.2,95.43,27.3,Excellent,0.812,True,ACE inhibition,Help ago who he.,Medium,True,Known,828.14,Mary Jones,That air half bad baby notice sport change.
EXP-0002-PROC-1-EXT-1-ASSAY-2,EXP-0002-PROC-1-EXT-1,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-15,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.584 - 377.7 μM,Standard Control,33.4,1.16,49.3,2.7,43.9,71.36,21.2,Good,0.709,True,ACE inhibition,Like cell month we.,High,False,Novel,897.57,Nathan Wallace,Expert choose thing.
EXP-0002-PROC-1-EXT-1-ASSAY-3,EXP-0002-PROC-1-EXT-1,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-14,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.947 - 144.6 μM,Standard Control,36.8,3.57,82.6,1.83,15.2,28.95,1.5,Good,0.902,True,ACE inhibition,Page community civil.,High,True,Known,511.43,Jeff Vaughan,Never stop try maybe remember interest church.
EXP-0002-PROC-1-EXT-1-ASSAY-4,EXP-0002-PROC-1-EXT-1,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-22,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.189 - 433.7 μM,Standard Control,48.1,2650.34,97.8,1.97,47.6,105.18,29.1,Excellent,0.932,True,ACE inhibition,Miss within by deep.,Medium,True,Novel,1294.05,Colleen White,Painting baby realize local present if herself.
EXP-0002-PROC-1-EXT-2-ASSAY-1,EXP-0002-PROC-1-EXT-2,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-15,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.069 - 726.3 μM,Standard Control,58.4,140.97,65.6,2.72,84.7,8.38,26.7,Excellent,0.873,True,ACE inhibition,Sound position crime.,Medium,False,Similar,1360.02,Blake Morrison,Agreement executive must assume others series.
EXP-0002-PROC-1-EXT-2-ASSAY-2,EXP-0002-PROC-1-EXT-2,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-17,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.725 - 409.8 μM,Standard Control,17.0,1.36,50.6,2.36,26.0,14.18,23.3,Excellent,0.796,False,ACE inhibition,Could cut upon drive be.,High,False,Known,1478.49,Amanda Downs,Animal fire want across ground executive huge.
EXP-0002-PROC-1-EXT-2-ASSAY-3,EXP-0002-PROC-1-EXT-2,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-17,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.432 - 63.4 μM,Standard Control,38.2,1.85,46.2,0.81,11.0,55.93,30.9,Excellent,0.749,True,ACE inhibition,Fire hospital green can push.,Medium,False,Similar,601.72,Steven Gordon,Space change onto him only system face.
EXP-0002-PROC-1-EXT-2-ASSAY-4,EXP-0002-PROC-1-EXT-2,EXP-0002-PROC-1,EXP-0002,Bothrops jararaca,2024-05-11,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.492 - 29.4 μM,Standard Control,49.0,133.44,49.9,2.51,79.4,59.29,7.2,Poor,0.8,False,ACE inhibition,Radio bad personal well.,High,False,Novel,504.18,Daniel Maldonado,Shoulder claim white might.
EXP-0002-PROC-2-EXT-1-ASSAY-1,EXP-0002-PROC-2-EXT-1,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-06-03,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.974 - 238.3 μM,Standard Control,56.1,3.31,91.5,1.27,66.2,29.67,28.8,Excellent,0.818,True,ACE inhibition,Prepare us game size fund growth task issue.,Medium,False,Novel,894.98,Patricia Hughes,Young parent when note yes.
EXP-0002-PROC-2-EXT-1-ASSAY-2,EXP-0002-PROC-2-EXT-1,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-06-09,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.717 - 442.9 μM,Standard Control,30.2,20.95,47.6,1.69,76.6,10.01,13.7,Excellent,0.82,True,ACE inhibition,Source central that natural.,Low,True,Novel,1490.42,Rachael Miller,Lawyer college fast attention.
EXP-0002-PROC-2-EXT-1-ASSAY-3,EXP-0002-PROC-2-EXT-1,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-06-14,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.204 - 407.9 μM,Standard Control,61.2,266.16,82.6,1.97,36.4,7.95,29.3,Fair,0.786,True,ACE inhibition,Guy become condition sign election list eight.,Low,True,Novel,400.65,Marie Taylor,Will major guy expert.
EXP-0002-PROC-2-EXT-1-ASSAY-4,EXP-0002-PROC-2-EXT-1,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-06-10,ACE Inhibition Assay,Hypertension,HEK293 cells,24-well,0.330 - 397.5 μM,Standard Control,20.3,2.73,83.2,1.78,94.4,3.93,3.1,Excellent,0.826,True,ACE inhibition,Tax true can happen suddenly weight.,Low,False,Similar,1001.07,Michael Hunter,Theory yard amount within arm.
EXP-0002-PROC-2-EXT-1-ASSAY-5,EXP-0002-PROC-2-EXT-1,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-06-05,ACE Inhibition Assay,Hypertension,HEK293 cells,24-well,0.020 - 735.1 μM,Standard Control,67.3,4.45,42.7,2.8,47.6,1008.44,2.4,Excellent,0.872,True,ACE inhibition,Record night choice black heart.,Low,True,Known,878.2,Sarah Walker,Protect give life movement stand board Congress.
EXP-0002-PROC-2-EXT-2-ASSAY-1,EXP-0002-PROC-2-EXT-2,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-06-03,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.817 - 862.4 μM,Standard Control,45.1,455.1,78.9,1.38,91.8,2.92,7.6,Excellent,0.868,True,ACE inhibition,True two should current.,Medium,False,Similar,305.23,Evan Davies,Defense scientist boy lawyer nation we certainly.
EXP-0002-PROC-2-EXT-2-ASSAY-2,EXP-0002-PROC-2-EXT-2,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-05-22,ACE Inhibition Assay,Hypertension,HEK293 cells,24-well,0.586 - 448.5 μM,Standard Control,4.4,147.02,81.4,2.31,70.1,22.94,16.2,Excellent,0.725,True,ACE inhibition,Floor all over herself view.,Medium,False,Novel,626.96,Jeffrey Kennedy,Deep age serve.
EXP-0002-PROC-2-EXT-2-ASSAY-3,EXP-0002-PROC-2-EXT-2,EXP-0002-PROC-2,EXP-0002,Bothrops jararaca,2024-05-29,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.579 - 84.3 μM,Standard Control,68.0,83.89,86.8,2.39,61.1,38.45,31.7,Poor,0.86,True,ACE inhibition,Establish player base attorney if fear.,High,True,Novel,1054.47,Shelby Warren,Contain approach time investment white.
EXP-0002-PROC-3-EXT-1-ASSAY-1,EXP-0002-PROC-3-EXT-1,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-14,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.085 - 488.1 μM,Standard Control,38.0,13.09,74.3,1.82,4.8,357.36,31.1,Poor,0.907,True,ACE inhibition,Clearly glass industry little read.,Low,False,Novel,489.0,Michael Gomez,Home act situation others back property pattern.
EXP-0002-PROC-3-EXT-1-ASSAY-2,EXP-0002-PROC-3-EXT-1,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-16,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.228 - 179.6 μM,Standard Control,48.7,498.06,45.3,2.73,39.5,342.37,16.4,Good,0.816,True,ACE inhibition,Professional statement same stay run add.,High,False,Novel,768.08,Taylor Porter,Box wide image minute about late.
EXP-0002-PROC-3-EXT-1-ASSAY-3,EXP-0002-PROC-3-EXT-1,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-10,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.247 - 581.2 μM,Standard Control,21.2,0.44,59.4,2.11,85.3,173.18,30.9,Fair,0.913,True,ACE inhibition,Plant police official already.,Low,False,Known,617.52,Chelsea Horton,Over democratic decide course.
EXP-0002-PROC-3-EXT-2-ASSAY-1,EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-27,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.737 - 575.6 μM,Standard Control,6.7,32.22,56.5,0.7,43.5,13.35,28.2,Good,0.782,True,ACE inhibition,Western have hair few film standard by.,Medium,False,Similar,1164.52,Dr. Jason Bell PhD,Mission share box compare into computer.
EXP-0002-PROC-3-EXT-2-ASSAY-2,EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-16,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.012 - 699.5 μM,Standard Control,28.3,0.98,52.2,1.35,48.2,121.81,15.5,Excellent,0.829,False,ACE inhibition,Class job expect process quite plant reduce visit.,Medium,False,Similar,498.44,Annette Miller,Bed administration usually billion.
EXP-0002-PROC-3-EXT-2-ASSAY-3,EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-14,ACE Inhibition Assay,Hypertension,HEK293 cells,24-well,0.437 - 633.7 μM,Standard Control,25.8,77.5,69.9,1.95,29.4,4.16,19.0,Excellent,0.721,False,ACE inhibition,Until between know ok allow face inside development.,Low,False,Similar,362.73,James Gonzalez,Wear go soldier less traditional population six.
EXP-0002-PROC-3-EXT-2-ASSAY-4,EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-22,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.273 - 872.8 μM,Standard Control,35.9,28.52,62.9,1.91,12.3,3.01,49.9,Excellent,0.806,True,ACE inhibition,Account hear difference exist they enough.,Low,True,Similar,717.88,Rebecca Perry,Above training allow ago so.
EXP-0002-PROC-3-EXT-2-ASSAY-5,EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-12,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.846 - 738.4 μM,Standard Control,16.8,8.4,98.6,1.14,46.2,15.45,2.5,Excellent,0.799,False,ACE inhibition,Star outside friend where year drop wind.,Medium,False,Novel,985.58,Matthew Poole,Investment vote hospital road idea fish citizen.
EXP-0002-PROC-3-EXT-2-ASSAY-6,EXP-0002-PROC-3-EXT-2,EXP-0002-PROC-3,EXP-0002,Bothrops jararaca,2024-05-23,ACE Inhibition Assay,Hypertension,HEK293 cells,24-well,0.576 - 951.1 μM,Standard Control,62.1,4.8,52.1,2.81,85.4,19.27,39.0,Good,0.798,False,ACE inhibition,Between song mean place six.,Medium,True,Novel,905.26,Lori Green,City follow behavior agent activity show check.
EXP-0002-PROC-4-EXT-1-ASSAY-1,EXP-0002-PROC-4-EXT-1,EXP-0002-PROC-4,EXP-0002,Bothrops jararaca,2024-06-06,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.752 - 428.6 μM,Standard Control,38.2,308.83,87.1,2.41,72.5,18.05,11.0,Excellent,0.784,True,ACE inhibition,Remain turn bad him score candidate law place.,High,True,Known,863.81,David Hurst,Create subject risk southern her.
EXP-0002-PROC-4-EXT-1-ASSAY-2,EXP-0002-PROC-4-EXT-1,EXP-0002-PROC-4,EXP-0002,Bothrops jararaca,2024-05-21,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.227 - 616.0 μM,Standard Control,32.3,19.22,82.1,1.78,87.3,16.91,15.2,Good,0.722,True,ACE inhibition,Process ever various physical point.,High,False,Known,1423.88,Ashley Stevens,But center energy Congress back suddenly tree debate.
EXP-0002-PROC-4-EXT-1-ASSAY-3,EXP-0002-PROC-4-EXT-1,EXP-0002-PROC-4,EXP-0002,Bothrops jararaca,2024-05-21,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.292 - 153.3 μM,Standard Control,58.8,86.45,96.6,1.82,54.5,13.51,23.6,Good,0.781,False,ACE inhibition,Make against available where.,Medium,False,Novel,870.79,Michael Brooks,Plant late claim federal tough process.
EXP-0002-PROC-4-EXT-1-ASSAY-4,EXP-0002-PROC-4-EXT-1,EXP-0002-PROC-4,EXP-0002,Bothrops jararaca,2024-05-23,ACE Inhibition Assay,Hypertension,HEK293 cells,384-well,0.658 - 896.1 μM,Standard Control,29.5,16.77,76.1,2.27,95.1,114.66,13.0,Poor,0.887,False,ACE inhibition,Parent all wish year low pass national citizen.,Low,False,Similar,924.98,Tammy Lee,Movie military set.
EXP-0003-PROC-1-EXT-1-ASSAY-1,EXP-0003-PROC-1-EXT-1,EXP-0003-PROC-1,EXP-0003,Bothrops jararaca,2025-07-29,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.618 - 410.9 μM,Standard Control,15.9,20.66,84.0,1.53,36.2,127.19,21.0,Good,0.802,True,ACE inhibition,Term boy describe foreign detail.,Medium,False,Similar,953.02,Teresa Adams,Current begin remain present level speak job.
EXP-0003-PROC-1-EXT-1-ASSAY-2,EXP-0003-PROC-1-EXT-1,EXP-0003-PROC-1,EXP-0003,Bothrops jararaca,2025-07-31,ACE Inhibition Assay,Hypertension,HEK293 cells,96-well,0.933 - 608.9 μM,Standard Control,48.2,101.22,78.3,2.42,37.5,40.8,48.0,Good,0.905,True,ACE inhibition,Two economic cup suffer response which.,Medium,True,Novel,1324.74,Ricky Matthews,Some west maintain third.
EXP-0004-PROC-1-EXT-1-ASSAY-1,EXP-0004-PROC-1-EXT-1,EXP-0004-PROC-1,EXP-0004,Conus geographus,2025-04-19,Calcium Channel Assay,Chronic Pain,PC12 cells,96-well,0.077 - 281.2 μM,Morphine,16.0,81.28,73.8,0.51,43.5,21.25,21.0,Excellent,0.728,True,Calcium channel blockade,Others even five blue him current.,Medium,False,Novel,1111.37,Steven Weiss,Cold almost memory only fall step population.
EXP-0004-PROC-1-EXT-1-ASSAY-2,EXP-0004-PROC-1-EXT-1,EXP-0004-PROC-1,EXP-0004,Conus geographus,2025-04-08,Calcium Channel Assay,Chronic Pain,PC12 cells,384-well,0.904 - 25.5 μM,Morphine,67.4,48.11,45.6,2.35,96.0,99.66,34.2,Good,0.843,True,Calcium channel blockade,Good air conference follow so group authority.,High,False,Known,1434.76,Jacqueline Chan,Act read response degree.
